Source node name,Source node type,Relationship type,Target node type,Target node name
DB00988,DRUG,TREAT,DISEASE,C0546884
DB00988,DRUG,TREAT,DISEASE,C0745176
DB00988,DRUG,TREAT,DISEASE,C0853062
DB00988,DRUG,TREAT,DISEASE,C1258192
DB00988,DRUG,TREAT,DISEASE,C1287298
DB00988,DRUG,TREAT,DISEASE,C1961112
DB03994,DRUG,TREAT,DISEASE,C0014867
DB00431,DRUG,TREAT,DISEASE,C0030756
DB00431,DRUG,TREAT,DISEASE,C0036262
DB00431,DRUG,TREAT,DISEASE,C0851341
DB09462,DRUG,TREAT,DISEASE,C0020523
DB05381,DRUG,TREAT,DISEASE,C0020523
DB05381,DRUG,TREAT,DISEASE,C0023467
DB05381,DRUG,TREAT,DISEASE,C0221232
DB05381,DRUG,TREAT,DISEASE,C0542213
DB05381,DRUG,TREAT,DISEASE,C0585186
DB09526,DRUG,TREAT,DISEASE,C0016689
DB09526,DRUG,TREAT,DISEASE,C0023321
DB09526,DRUG,TREAT,DISEASE,C0025218
DB09526,DRUG,TREAT,DISEASE,C0037274
DB09526,DRUG,TREAT,DISEASE,C0043251
DB09526,DRUG,TREAT,DISEASE,C0162834
DB09526,DRUG,TREAT,DISEASE,C0549567
DB01378,DRUG,TREAT,DISEASE,C0013537
DB01378,DRUG,TREAT,DISEASE,C0020538
DB01378,DRUG,TREAT,DISEASE,C0020598
DB01378,DRUG,TREAT,DISEASE,C0024473
DB01378,DRUG,TREAT,DISEASE,C0032914
DB01378,DRUG,TREAT,DISEASE,C0036572
DB01378,DRUG,TREAT,DISEASE,C0039621
DB01378,DRUG,TREAT,DISEASE,C0040524
DB01378,DRUG,TREAT,DISEASE,C0085584
DB01378,DRUG,TREAT,DISEASE,C0151723
DB01378,DRUG,TREAT,DISEASE,C0268733
DB01065,DRUG,TREAT,DISEASE,C0033139
DB01065,DRUG,TREAT,DISEASE,C1262141
DB12529,DRUG,TREAT,DISEASE,C0003578
DB12529,DRUG,TREAT,DISEASE,C0009421
DB12529,DRUG,TREAT,DISEASE,C0009676
DB12529,DRUG,TREAT,DISEASE,C0013404
DB12529,DRUG,TREAT,DISEASE,C0018681
DB12529,DRUG,TREAT,DISEASE,C0020538
